TP	FP
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
1	1
0.975697	0.876048
0.934721	0.669164
0.905237	0.512446
0.885173	0.41237
0.86737	0.336551
0.851356	0.280925
0.841843	0.241554
0.833647	0.20701
0.825829	0.180467
0.819706	0.157099
0.813583	0.138557
0.808214	0.124079
0.804164	0.112649
0.800113	0.101981
0.797099	0.0913132
0.793708	0.0829312
0.790787	0.0762002
0.787773	0.0713741
0.785607	0.0659131
0.783252	0.0618491
0.780991	0.0572771
0.778636	0.0530861
0.777223	0.0506731
0.775716	0.0462281
0.774491	0.0439421
0.773267	0.0407671
0.771665	0.0381001
0.770158	0.0359411
0.768651	0.0331471
0.767898	0.0314961
0.766579	0.0308611
0.76526	0.0293371
0.764224	0.0273051
0.762905	0.0255271
0.761492	0.024003
0.760362	0.022987
0.759326	0.022352
0.758384	0.020828
0.757442	0.02032
0.756217	0.019558
0.755369	0.018542
0.753956	0.016891
0.75292	0.015875
0.75179	0.01524
0.750848	0.014351
0.749906	0.014097
0.748493	0.013335
0.747551	0.012446
0.746326	0.011684
0.744725	0.011557
0.744254	0.010668
0.742935	0.010033
0.741805	0.00939802
0.741334	0.00889002
0.739638	0.00876302
0.738602	0.00850902
0.73766	0.00736601
0.736624	0.00673101
0.73587	0.00571501
0.734457	0.00520701
0.73295	0.00495301
0.731631	0.00469901
0.730878	0.00457201
0.73003	0.00457201
0.728806	0.00457201
0.727298	0.00406401
0.725885	0.00393701
0.724849	0.00381001
0.723342	0.00342901
0.721647	0.00330201
0.720045	0.00304801
0.717219	0.00292101
0.714205	0.00292101
0.711473	0.002413
0.708365	0.002286
0.703655	0.001651
0.698003	0.00127
0.688489	0.000889002
0.6737	0.000762002
